Campaign_ID,Brand,Campaign_Type,Target_Audience,Channel_Used,Duration,Language,Customer_Segment,Campaign_Date,Impressions,Clicks,Leads,Conversions,Revenue,CPA,Total_Spend,Profit,CTR,Lead_Rate,Conversion_Rate,ROI,Engagement_Score,ROI_Category
NY-CMP-13007,Nykaa,"Paid Ads",Youth,"Email, YouTube, Facebook",29,Hindi,"Tier 2 City Customers",2025-02-14,99483,14620,8708,6686,4579910,9.08,60708.88,4519201.12,0.1470,0.5956,0.7678,74.4200,30.17,Excellent
NY-CMP-22689,Nykaa,Influencer,Youth,"Instagram, YouTube",20,Hindi,"College Students",2025-01-11,97281,13710,7491,5315,3821485,10.68,56764.20,3764720.80,0.1409,0.5464,0.7095,66.3200,27.26,Excellent
NY-CMP-49715,Nykaa,"Paid Ads","Premium Shoppers",WhatsApp,12,Tamil,"Working Women",2025-05-22,89428,11400,6778,4664,3717208,12.08,56341.12,3660866.88,0.1275,0.5946,0.6881,65.0000,25.54,Excellent
NY-CMP-26356,Nykaa,"Paid Ads","Premium Shoppers",Facebook,5,Hindi,Youth,2025-06-15,90880,13313,6512,4764,3363384,10.84,51641.76,3311742.24,0.1465,0.4891,0.7316,64.1400,27.06,Excellent
NY-CMP-39329,Nykaa,"Paid Ads",Youth,"Google, Facebook, YouTube",27,Hindi,"Working Women",2024-11-06,77578,11194,5900,4352,3168256,12.01,52267.52,3115988.48,0.1443,0.5271,0.7376,59.6400,27.64,Excellent
NY-CMP-2174,Nykaa,Influencer,"College Students",WhatsApp,30,Bengali,"College Students",2025-04-18,97028,14251,7739,4050,3126600,13.72,55566.00,3071034.00,0.1469,0.5430,0.5233,55.2700,26.84,Excellent
NY-CMP-51204,Nykaa,"Social Media","Premium Shoppers","Google, Instagram, Email",24,English,"Working Women",2025-05-28,97980,12433,6377,5051,2818458,10.01,50560.51,2767897.49,0.1269,0.5129,0.7921,54.7400,24.35,Excellent
NY-CMP-5736,Nykaa,Email,"College Students",WhatsApp,29,Tamil,"Tier 2 City Customers",2024-08-31,95397,13734,7148,5633,3036187,9.85,55485.05,2980701.95,0.1440,0.5205,0.7881,53.7000,27.79,Excellent
NY-CMP-35197,Nykaa,Influencer,"Premium Shoppers",Facebook,25,Hindi,"Working Women",2024-07-28,85841,9551,4586,3641,2796288,14.35,52248.35,2744039.65,0.1113,0.4802,0.7939,52.5300,20.71,Excellent
NY-CMP-24042,Nykaa,"Social Media","Tier 2 City Customers","Facebook, Google, WhatsApp",30,Tamil,"Premium Shoppers",2024-10-15,83554,12101,5365,4287,3146658,13.73,58860.51,3087797.49,0.1448,0.4434,0.7991,52.4500,26.03,Excellent
NY-CMP-52214,Nykaa,"Social Media","Premium Shoppers","Instagram, YouTube",12,Bengali,"Working Women",2024-08-21,78702,10536,6160,4069,2661126,12.71,51716.99,2609409.01,0.1339,0.5847,0.6606,50.4400,26.38,Excellent
NY-CMP-44966,Nykaa,"Paid Ads",Youth,"Email, Facebook, Google",14,Bengali,"Working Women",2025-04-08,92141,11938,6981,4857,3866172,15.61,75817.77,3790354.23,0.1296,0.5848,0.6957,49.9800,25.80,Excellent
NY-CMP-13538,Nykaa,Email,"Working Women","Email, Google, YouTube",5,English,"Tier 2 City Customers",2024-10-30,87416,9830,4999,3596,2679020,14.73,52969.08,2626050.92,0.1125,0.5085,0.7193,49.5800,21.08,Excellent
NY-CMP-32975,Nykaa,SEO,"College Students","Facebook, Google, Instagram",22,Bengali,"Working Women",2025-01-22,86720,11808,5106,3710,2782500,14.84,55056.40,2727443.60,0.1362,0.4324,0.7266,49.5600,23.78,Excellent
NY-CMP-33859,Nykaa,Influencer,"Premium Shoppers","YouTube, Google",20,Tamil,"Premium Shoppers",2025-03-05,99902,13656,5214,3627,2868957,16.26,58975.02,2809981.98,0.1367,0.3818,0.6956,47.6500,22.52,Excellent
NY-CMP-5942,Nykaa,"Paid Ads","Tier 2 City Customers","YouTube, Google, Instagram",9,Bengali,"Tier 2 City Customers",2025-02-28,84891,10398,6083,3732,2858712,15.91,59376.12,2799335.88,0.1225,0.5850,0.6135,47.1400,23.81,Excellent
NY-CMP-3383,Nykaa,SEO,"Working Women","WhatsApp, Instagram, YouTube",22,English,Youth,2024-10-31,68556,9387,5495,4050,3049650,15.83,64111.50,2985538.50,0.1369,0.5854,0.7370,46.5800,27.62,Excellent
NY-CMP-39427,Nykaa,"Social Media","College Students","YouTube, WhatsApp",22,English,Youth,2024-12-19,84568,11006,5891,4293,2567214,12.58,54005.94,2513208.06,0.1301,0.5353,0.7287,46.5200,25.06,Excellent
NY-CMP-47645,Nykaa,"Social Media","Working Women","YouTube, Google",16,Bengali,"Working Women",2025-02-28,90777,11232,6080,4785,3641385,16.03,76703.55,3564681.45,0.1237,0.5413,0.7870,46.4700,24.34,Excellent
NY-CMP-55921,Nykaa,SEO,"Premium Shoppers","Instagram, YouTube",21,Hindi,"Tier 2 City Customers",2024-11-28,94900,13059,7018,4605,3430725,15.72,72390.60,3358334.40,0.1376,0.5374,0.6562,46.4100,26.01,Excellent
NY-CMP-44366,Nykaa,Influencer,Youth,"Instagram, Facebook",19,Tamil,"Tier 2 City Customers",2025-06-06,89568,12441,7079,3667,2489893,14.36,52658.12,2437234.88,0.1389,0.5690,0.5180,46.2900,25.89,Excellent
NY-CMP-1227,Nykaa,SEO,"Tier 2 City Customers","Email, WhatsApp, Facebook",30,English,"College Students",2024-10-17,99718,14868,8876,4926,2827524,12.27,60442.02,2767081.98,0.1491,0.5970,0.5550,45.7700,28.75,Excellent
NY-CMP-33011,Nykaa,SEO,"Working Women","Google, WhatsApp",25,Tamil,Youth,2025-04-03,90092,12907,6006,4527,3467682,16.38,74152.26,3393529.74,0.1433,0.4653,0.7537,45.7600,26.02,Excellent
NY-CMP-8637,Nykaa,"Paid Ads","Working Women","Facebook, Instagram, Google",25,English,"College Students",2025-05-05,93413,9328,4861,3528,2670696,16.25,57330.00,2613366.00,0.0999,0.5211,0.7258,45.5700,18.97,Excellent
