Brand,Campaign_Type,campaigns,total_revenue,ROI
Nykaa,Social Media,11114,5750000000,1.9721
Nykaa,SEO,11079,5700000000,1.9608
Nykaa,Paid Ads,11116,5750000000,1.9584
Nykaa,Influencer,11134,5770000000,1.9493
Nykaa,Email,11112,5690000000,1.9322
Purplle,Social Media,11020,5700000000,1.9595
Purplle,Paid Ads,11036,5730000000,1.9577
Purplle,Email,11237,5790000000,1.9504
Purplle,SEO,10999,5630000000,1.9200
Purplle,Influencer,11263,5690000000,1.8983
Tira Beauty,Paid Ads,11131,5760000000,1.9723
Tira Beauty,Email,11144,5750000000,1.9447
Tira Beauty,Social Media,11045,5650000000,1.9270
Tira Beauty,SEO,11129,5680000000,1.9085
Tira Beauty,Influencer,11106,5620000000,1.8964
